line,sex,unit,age_days,weight_g,weight_lb,daily_gain_g,daily_gain_lb,avg_daily_gain_g,avg_daily_gain_lb,cum_fcr,daily_feed_intake_g,daily_feed_intake_lb,cum_feed_intake_g,cum_feed_intake_lb,source_doc
cobb500,as_hatched,metric,41,3170.0,,108.0,,76.3,,,217.0,,4880.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,42,3278.0,,108.0,,77.1,,,220.0,,5100.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,43,3384.0,,106.0,,77.7,,,224.0,,5324.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,44,3490.0,,106.0,,78.4,,,228.0,,5552.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,45,3595.0,,105.0,,79.0,,,232.0,,5784.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,46,3699.0,,104.0,,79.5,,,236.0,,6020.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,47,3801.0,,102.0,,80.0,,,239.0,,6259.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,48,3902.0,,101.0,,80.4,,,243.0,,6502.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,49,4001.0,,99.0,,80.8,,,247.0,,6749.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,50,4099.0,,98.0,,81.1,,,250.0,,6999.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,51,4195.0,,96.0,,81.4,,,253.0,,7252.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,52,4289.0,,94.0,,81.7,,,256.0,,7508.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,53,4380.0,,91.0,,81.9,,,258.0,,7766.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,54,4470.0,,90.0,,82.0,,,260.0,,8026.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,55,4557.0,,87.0,,82.1,,,261.0,,8287.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,as_hatched,metric,56,4641.0,,84.0,,82.1,,,262.0,,8549.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,0,42.0,,,,,,,,,,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,1,56.0,,14.0,,,,,,,,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,2,72.0,,16.0,,,,,,,,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,3,92.0,,20.0,,,,,,,,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,4,114.0,,22.0,,,,,,,,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,5,141.0,,27.0,,,,,,,,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,6,171.0,,30.0,,,,,,,,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,7,205.0,,34.0,,23.3,,,,,182.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,8,244.0,,39.0,,25.3,,,40.0,,222.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,9,289.0,,45.0,,27.4,,,45.0,,267.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,10,339.0,,50.0,,29.7,,,52.0,,319.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,11,395.0,,56.0,,32.1,,,60.0,,379.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,12,457.0,,62.0,,34.6,,,68.0,,447.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,13,525.0,,68.0,,37.2,,,78.0,,525.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,14,603.0,,78.0,,40.1,,,90.0,,615.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,15,677.0,,74.0,,42.3,,,89.0,,704.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,16,754.0,,77.0,,44.5,,,96.0,,800.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,17,834.0,,80.0,,46.6,,,103.0,,903.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,18,918.0,,84.0,,48.7,,,110.0,,1013.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,19,1005.0,,87.0,,50.7,,,117.0,,1130.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,20,1095.0,,90.0,,52.7,,,124.0,,1254.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,21,1188.0,,93.0,,54.6,,,131.0,,1385.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,22,1284.0,,96.0,,56.5,,,138.0,,1523.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,23,1382.0,,98.0,,58.3,,,144.0,,1667.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,24,1482.0,,100.0,,60.0,,,151.0,,1818.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,25,1585.0,,103.0,,61.7,,,157.0,,1975.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,26,1690.0,,105.0,,63.4,,,162.0,,2137.0,,2022-Cobb500-Broiler-Performance.xlsx
cobb500,male,metric,27,1796.0,,106.0,,65.0,,,168.0,,2305.0,,2022-Cobb500-Broiler-Performance.xlsx
